"","locationName","lat","long"
"1","honolulu hawaii ",21.3069444,-157.8583333
"2","Australia",-25.274398,133.775136
"3","Statesboro",32.4487876,-81.7831674
"4","New Hampshire",43.1938516,-71.5723953
"5","the rice fields",17.4495916,102.6898313
"6","Indonesia",-0.789275,113.921327
"7","barranquilla ",11.0041072,-74.8069813
"8","United States",37.09024,-95.712891
"9","Tokyo, Japan",35.6894875,139.6917064
"10","new york city",40.7127837,-74.0059413
"11","H-town",33.0205401,-96.7028312
"12","Caracas Venezuela",10.4805937,-66.9036063
"13","Michigan",44.3148443,-85.6023643
"14","Kentucky, USA",37.8393332,-84.2700179
"15","St Louis, MO",38.6270025,-90.1994042
"16","above the clouds",41.430586,-74.397781
"17","San Francisco Bay Area",37.8271784,-122.2913078
"18","Macon, GA",32.8406946,-83.6324022
"19","NIC ",47.67648,-116.796398
"20","Cameron, TX",30.8532454,-96.9769304
"21","Barra Mansa, RJ",-22.5408519,-44.1772604
"22","Nuevo Toledo, México. ",32.6142817,-115.4726125
"23","South Central Los Angeles ",33.9891116,-118.2914872
"24","anyareas",-34.0516761,150.830568
"25","Colorado",39.5500507,-105.7820674
"26","San Jose, CA",37.3382082,-121.8863286
"27","Oblivion",28.5541125,-81.3223844
"28","Saugerties, NY",42.0775906,-73.9529126
"29","denver  colorado",39.7392358,-104.990251
"30","BLM",43.487633,-123.486364
"31","Tampa, FL",27.950575,-82.4571776
"32","Dubai, United Arab Emirates",25.2048493,55.2707828
"33","Texas, USA",31.9685988,-99.9018131
"34","Winter Park, Florida ",28.5999998,-81.3392352
"35","Fort Worth Texas",32.7554883,-97.3307658
"36","San Francisco, CA",37.7749295,-122.4194155
"37","USA",37.09024,-95.712891
"38","Centro, Montevideo, Uruguay.",-34.9045171,-56.1951619
"39","Salt Lake City, UT",40.7607793,-111.8910474
"40","Tulsa, OK",36.1539816,-95.992775
"41","Seattle",47.6062095,-122.3320708
"42","Somewhere in Texas",29.3954999,-94.8982955
"43","Austin, TX",30.267153,-97.7430608
"44","Online!",52.6930156,4.8091029
"45","New Mexico",34.5199402,-105.8700901
"46","Ozark, MO",37.0208865,-93.2060163
"47","Boston",42.3600825,-71.0588801
"48","San Jose State University ",37.3351874,-121.8810715
"49","Asuncion, Paraguay",-25.2637399,-57.575926
"50","West Michigan",44.3148443,-85.6023643
"51","Connecticut",41.6032207,-73.087749
"52","Jeddah",21.2854067,39.2375507
"53","MIchigan/Chicago, IL",41.8426866,-87.6233252
"54","1000 Vin Scully Ave",34.073873,-118.2407774
"55","Worcester, MA",42.2625932,-71.8022934
"56","Hudson, FL",28.3644485,-82.6934343
"57","The Bricks ",27.9601884,-82.4443349
"58","Oakland, CA",37.8043637,-122.2711137
"59","Scotland ",56.4906712,-4.2026458
"60","Liverpool",53.4083714,-2.9915726
"61","Wyoming",43.0759678,-107.2902839
"62","Dallas Texas",32.7766642,-96.7969879
"63","Islamabad",33.7293882,73.0931461
"64","united states of neverland",39.4754752,-75.6322646
"65","Chicago",41.8781136,-87.6297982
"66","Rio de Janeiro, Brasil",-22.9068467,-43.1728965
"67"," TEXA$",31.9685988,-99.9018131
"68","Bangkok",13.7563309,100.5017651
"69","medford wisconsin",45.1385798,-90.3401404
"70","Los Angeles, CA",34.0522342,-118.2436849
"71","Texas, USA",31.9685988,-99.9018131
"72","Annandale, VA",38.8303905,-77.1963703
"73","counting the stars",13.761731,100.498823
"74","LU Nursing '19 ",34.0611917,-118.2406445
"75","Right Here",40.7605434,-73.827133
"76","New York",40.7127837,-74.0059413
"77","Nacogdoches, Tx",31.6035129,-94.6554874
"78","northeast",65.4713712,-17.0280279
"79","Piscataway, NJ",40.554887,-74.4642861
"80","Camarillo, CA",34.2163937,-119.0376023
"81","Dublin City, Ireland",53.3498053,-6.2603097
"82","Minneapolis, MN",44.977753,-93.2650108
"83","boston",42.3600825,-71.0588801
"84","DKI Jakarta, Indonesia",-6.1744651,106.822745
"85","Charlotte.",35.2270869,-80.8431267
"86","New York",40.7127837,-74.0059413
"87","Kuala Lumpur",3.139003,101.686855
"88","South Carolina, USA",33.836081,-81.1637245
"89","Sydney, Australia",-33.8688197,151.2092955
"90","Worldwide",43.8169837,-79.532157
"91","Houston, TX",29.7604267,-95.3698028
"92","Georgia, USA",32.1656221,-82.9000751
"93","México",23.634501,-102.552784
"94","London, United Kingdom",51.5073509,-0.1277583
"95","Centreville, VA",38.8403909,-77.4288769
"96","BRK",40.4226279,-86.9245834
"97","South Lake Tahoe, CA",38.939926,-119.9771868
"98","Baltimore, MD",39.2903848,-76.6121893
"99","Houston, TX",29.7604267,-95.3698028
"100","Vallejo, CA",38.1040864,-122.2566367
"101","World",32.940444,-97.1060202
"102","Boston, MA (USA) ",42.3600825,-71.0588801
"103","Los Angeles, CA",34.0522342,-118.2436849
"104","Barquisimeto, Lara",10.0677719,-69.3473509
"105","USA",37.09024,-95.712891
"106","Australia",-25.274398,133.775136
"107","The 864 ",38.1606607,-85.6766897
"108","The Netherlands",52.132633,5.291266
"109","Michigan",44.3148443,-85.6023643
"110","Plymouth, MA",41.9584457,-70.6672621
"111","Capital Region, Denmark",55.6751812,12.5493261
"112","Massachusetts",42.4072107,-71.3824374
"113","Santo André, Brasil",-23.6742228,-46.5436003
"114","Toronto ",43.653226,-79.3831843
"115","Tokyo",35.6894875,139.6917064
"116","Charlotte, NC",35.2270869,-80.8431267
"117","Morelia, Michoacán",19.7059504,-101.1949825
"118","Los Angeles, CA",34.0522342,-118.2436849
"119","NYC",40.7127837,-74.0059413
"120","Nebraska, USA",41.4925374,-99.9018131
"121","Denver, CO",39.7392358,-104.990251
"122","Florida",27.6648274,-81.5157535
"123","Atlanta GA",33.7489954,-84.3879824
"124","603",30.4692015,-89.4311847
"125","Philadelphia, PA",39.9525839,-75.1652215
"126","Zavalla, Tx",31.1585242,-94.4263124
"127","New Hampshire",43.1938516,-71.5723953
"128","Rocklin, CA",38.7907339,-121.2357828
"129","San Diego",32.715738,-117.1610838
"130","Tultitlán, México",19.6382457,-99.1622211
"131","Missouri, USA",37.9642529,-91.8318334
"132","Youngstown ny",43.2472768,-79.0500466
"133","Princeton, NJ",40.3572976,-74.6672226
"134","Melbourne, Victoria, Australia",-37.813611,144.963056
"135","Canada",56.130366,-106.346771
"136","Foxborough, MA",42.0653812,-71.2478251
"137","California, USA",36.778261,-119.4179324
"138","Melbourne, Australia",-37.813611,144.963056
"139","Batavia, IL",41.8500284,-88.3125738
"140","United States",37.09024,-95.712891
"141","Cbhs",35.132071,-89.864854
"142","San Antonio, TX",29.4241219,-98.4936282
"143","Shoe store, Texas ",30.3312641,-97.7398454
"144","Boston, MA",42.3600825,-71.0588801
"145","Detroit, MI",42.331427,-83.0457538
"146","Oxnard, CA",34.1975048,-119.1770516
"147","Illinois, USA",40.6331249,-89.3985283
"148","Danville.CA",37.8215929,-121.9999606
"149","Argentina",-38.416097,-63.616672
"150","south to west texas ",31.3839017,-100.439656
"151","Carolina",18.3807819,-65.9573872
"152","Boston",42.3600825,-71.0588801
"153","Cape Breton, Nova Scotia",46.2486851,-60.851817
"154","Colombia",4.570868,-74.297333
"155","BADLANDS",43.8553804,-102.3396912
"156","Guatemala",15.783471,-90.230759
