"","lat","long","x"
"1",53.7266683,-127.6476206,1
"2",46.8877373,-124.1104234,1
"3",49.1658836,-123.9400647,1
"4",43.487633,-123.486364,1
"5",44.5645659,-123.2620435,2
"6",49.2827291,-123.1207375,6
"7",49.2849885,-123.1107973,1
"8",44.0520691,-123.0867536,1
"9",49.2542353,-123.067559,1
"10",49.2488091,-122.9805104,1
"11",38.440429,-122.7140548,1
"12",42.1857745,-122.695808,1
"13",45.2622655,-122.6921006,1
"14",45.5230622,-122.6764816,1
"15",45.5897694,-122.5950942,1
"16",45.4076205,-122.5703692,1
"17",37.7607369,-122.4679536,1
"18",38.5698777,-122.4394834,1
"19",37.7618428,-122.4353514,1
"20",37.7636866,-122.4290335,1
"21",37.76686,-122.4219175,1
"22",37.7749295,-122.4194155,8
"23",37.7767964,-122.4166041,2
"24",37.7849105,-122.4082053,1
"25",37.7972621,-122.407124,1
"26",47.6053664,-122.3357972,1
"27",47.6062095,-122.3320708,8
"28",47.613957,-122.32818,1
"29",37.5629917,-122.3255254,1
"30",37.8271784,-122.2913078,2
"31",37.8715926,-122.272747,1
"32",37.8043637,-122.2711137,4
"33",38.1040864,-122.2566367,1
"34",47.3809335,-122.2348431,1
"35",47.6101497,-122.2015159,2
"36",37.4200507,-122.1750657,1
"37",37.4845809,-122.1479209,1
"38",48.1987118,-122.1251418,1
"39",37.9100783,-122.0651819,1
"40",37.387474,-122.0575434,1
"41",37.8215929,-121.9999606,1
"42",37.729808,-121.932387,1
"43",36.5552386,-121.9232879,1
"44",37.3382082,-121.8863286,2
"45",37.3351874,-121.8810715,1
"46",37.3070121,-121.8739799,1
"47",36.6149217,-121.822098,1
"48",39.7596061,-121.6219177,2
"49",38.590638,-121.481278,1
"50",38.025004,-121.354793,1
"51",37.9577016,-121.2907796,1
"52",38.7521235,-121.2880059,1
"53",38.7907339,-121.2357828,1
"54",38.8375215,-120.8958242,1
"55",39.178547,-120.862123,1
"56",37.4040942,-120.8504738,1
"57",37.4969293,-120.8434283,1
"58",47.7510741,-120.7401386,1
"59",43.8041334,-120.5542012,2
"60",37.3021632,-120.4829677,1
"61",38.939926,-119.9771868,1
"62",36.7468422,-119.7725868,2
"63",49.8879519,-119.4960106,1
"64",36.778261,-119.4179324,13
"65",46.216508,-119.2182003,1
"66",34.1975048,-119.1770516,1
"67",34.2163937,-119.0376023,1
"68",35.3732921,-119.0187125,2
"69",34.456151,-118.5713823,1
"70",33.956131,-118.4488017,1
"71",34.227617,-118.442425,1
"72",33.3878856,-118.4163103,1
"73",34.0736204,-118.4003563,1
"74",34.0745721,-118.3437757,1
"75",46.0645809,-118.3430209,1
"76",33.9891116,-118.2914872,1
"77",34.0483215,-118.2548493,1
"78",34.0522342,-118.2436849,34
"79",34.073873,-118.2407774,1
"80",34.0611917,-118.2406445,1
"81",34.1129866,-118.2108671,1
"82",33.7700504,-118.1937395,1
"83",34.2010138,-118.1884403,1
"84",34.5794343,-118.1164613,1
"85",34.1397292,-118.0353449,1
"86",33.660297,-117.9992265,1
"87",33.7739053,-117.9414477,1
"88",33.8703596,-117.9242966,1
"89",33.8120918,-117.9189742,1
"90",33.6411316,-117.9186689,1
"91",33.8352932,-117.9145036,3
"92",33.9761238,-117.9053395,1
"93",34.129133,-117.881629,1
"94",33.7174708,-117.8311428,2
"95",34.055103,-117.7499909,1
"96",34.0967758,-117.718071,1
"97",34.0775104,-117.6897776,1
"98",33.9105678,-117.4711384,1
"99",33.9533487,-117.3961564,2
"100",34.1083449,-117.2897652,1
"101",34.1283442,-117.2086513,1
"102",32.7338006,-117.1933038,1
"103",32.6858853,-117.1830891,1
"104",32.715738,-117.1610838,7
"105",32.8251663,-117.1559486,1
"106",32.8385274,-117.1348354,1
"107",32.5149469,-117.0382471,1
"108",32.566074,-117.0096078,2
"109",47.67648,-116.796398,1
"110",34.9592083,-116.419389,2
"111",33.7222445,-116.3744556,1
"112",43.6187102,-116.2146068,1
"113",40.7265927,-115.5858953,1
"114",32.6142817,-115.4726125,1
"115",36.0971945,-115.1466648,1
"116",36.1699412,-115.1398296,6
"117",36.1611747,-115.1219028,1
"118",36.023617,-115.0962998,2
"119",36.0395247,-114.9817213,1
"120",51.037739,-114.07655,1
"121",51.0486151,-114.0708459,1
"122",51.1250608,-114.0168895,1
"123",52.2681118,-113.8112386,1
"124",37.3387742,-113.6932229,1
"125",53.6304753,-113.625642,2
"126",37.0965278,-113.5684164,1
"127",53.544389,-113.4909267,2
"128",49.6967776,-112.8243335,1
"129",33.4926777,-112.1221652,2
"130",33.4483771,-112.0740373,5
"131",40.6916132,-112.0010501,1
"132",40.619161,-111.980204,1
"133",33.406366,-111.962409,1
"134",40.7607793,-111.8910474,4
"135",33.38266,-111.722725,1
"136",41.0364451,-111.6775872,1
"137",34.0489281,-111.0937311,4
